/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/131_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 0.0
client_weight = 0.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 584336 millisecs
==== Client Data ====
     client:       0       1       2  total
       t_84:    0.00 2000.00 1250.50 3250.50
       t_85:    0.00 2000.00 1250.00 3250.00
       t_86:    0.00 2000.50 1250.00 3250.50
       t_87:    0.00 2000.00 1250.00 3250.00
       t_88:    0.00 2000.00 1250.50 3250.50
       t_89:  762.00 2000.00 1250.00 4012.00
       t_90: 1250.00 2000.50 1250.00 4500.50
       t_91: 1250.00 2000.00 1250.50 4500.50
       t_92: 1250.50 2000.00 1250.00 4500.50
       t_93: 1250.00 2000.50 1250.00 4500.50
       t_94: 1250.00 2000.00 1250.50 4500.50
       t_95: 1250.50 2000.00 1250.00 4500.50
       t_96: 1250.00 2000.00 1250.50 4500.50
       t_97: 1250.00 2000.50 1250.00 4500.50
       t_98: 1250.50 2000.00 1250.00 4500.50
       t_99: 1250.00 2000.00 1250.50 4500.50
      t_100: 1250.50 2000.00 1250.00 4500.50
      t_101: 1250.00 2000.50 1250.00 4500.50
      t_102: 1250.00 2000.00 1250.00 4500.00
      t_103: 1250.50 2000.00 1250.50 4501.00
      t_104: 1250.00 2000.50 1247.50 4498.00
      t_105: 1250.00 2000.00 1250.50 4500.50
      t_106: 1250.50 2000.00 1250.00 4500.50
      t_107: 1250.00 2000.00 1250.00 4500.00
      t_108: 1250.00 2000.50 1250.50 4501.00
      t_109: 1250.00 2000.00 1250.00 4500.00
      t_110: 1250.50 2000.00 1250.00 4500.50
      t_111: 1250.00 2000.50 1250.00 4500.50
      t_112: 1250.00 2000.00 1250.50 4500.50
      t_113:  484.50 2000.00 1250.00 3734.50
